feature,importance
passages_urgences_grippe_log,0.17541187175370873
hospitalisations_grippe_log,0.13855300713676955
flurisk_score,0.08582271706461901
passages_per_100k,0.0836368369922928
taux_incidence,0.08341828162253678
passages_per_100k_log,0.07386617828809662
passages_ma_7,0.052250757393508526
hospitalisations_per_100k_log,0.047867678682780405
hospitalisations_per_100k,0.047774724288751784
incidence_ma_7,0.030300295625056223
flurisk_ma_7,0.02778537577631333
passages_ma_14,0.02455250598231186
passages_volatility_14,0.014489020551638471
google_trends_grippe_log,0.013809244691220256
saison,0.013348345260241326
google_trends_grippe,0.012460832968888818
passages_ma_21,0.009987364073797618
passages_delta_7,0.007499343701392241
flurisk_ma_14,0.006592712492740844
wikipedia_views_grippe_log,0.0064750451281700636
flurisk_lag_1,0.005738319047879137
passages_lag_1,0.005732274997424541
wikipedia_views_grippe,0.005281861535746867
incidence_volatility_14,0.0039318473488206525
passages_lag_7,0.003901222305578412
incidence_ma_14,0.003174509581784472
incidence_ma_21,0.0025357068159876485
flurisk_delta_7,0.0021461278897951038
incidence_delta_7,0.0020202660177850553
passages_lag_14,0.0016027189024295063
flurisk_ma_21,0.0013411719287562609
incidence_lag_1,0.0011383694301802948
passages_lag_21,0.0008039496875658417
incidence_lag_7,0.0006718503974537963
incidence_lag_14,0.000658477572709275
passages_lag_28,0.0005662733322844365
flurisk_lag_7,0.0004720044563112965
jour_annee,0.0003173344793843338
flurisk_lag_14,0.00023792580148546095
flurisk_lag_21,0.00021109880044752305
flurisk_lag_28,0.0002013102291501569
temperature_moyenne,0.00020040792958018767
incidence_lag_21,0.0001998330666438188
incidence_lag_28,0.0001959429281455349
couverture_vaccinale,0.0001923774486509558
semaine,0.00018426353854037895
humidite_relative,0.00016362056013933778
mois,0.00013974402749633683
jour_semaine,8.633196321917263e-05
annee,3.3860646649282757e-05
vacances,1.685785713969811e-05
