feature,importance
month,0.42931137627529464
taux_vaccination,0.05700471783373448
cas_sentinelles_ma8,0.030851164816141644
urgences_grippe_ma4,0.029962340600926285
ias_syndrome_grippal_lag8,0.027837595168746957
is_autumn,0.026403970635833756
ias_syndrome_grippal_ma3,0.0244652031415956
urgences_grippe_ma8,0.022436833976083564
cas_sentinelles_ma3,0.022159510387051683
cas_sentinelles_ma4,0.020838380442922966
urgences_grippe_lag8,0.01996424017721634
ias_syndrome_grippal_ma4,0.019895901341489892
urgences_grippe_ma3,0.01954280930041767
ias_syndrome_grippal_ma8,0.018556731302779305
ias_syndrome_grippal_lag4,0.018341256206843664
ias_syndrome_grippal_lag3,0.01761522592085378
urgences_grippe_lag12,0.015033791464064193
ias_syndrome_grippal_lag12,0.014665405232421082
urgences_per_100k,0.014173019302548178
cas_sentinelles_lag8,0.013057501463807271
urgences_grippe_lag3,0.012115930386842272
flurisk,0.011331631326883813
ias_syndrome_grippal_lag2,0.010757310697926825
urgences_grippe_lag1,0.010352998121816448
urgences_grippe_lag4,0.009708913445624787
urgences_grippe_lag2,0.00912934530348565
cas_sentinelles_lag1,0.0076681970910263365
pct_65_plus,0.007479117042652115
cas_sentinelles_lag12,0.007399250302815853
cas_sentinelles_lag2,0.007168345407011533
cas_sentinelles_lag4,0.0068397802043986145
ias_syndrome_grippal,0.006614352482988777
sentinelles_per_100k,0.0065796017031364415
cas_sentinelles,0.006520255805508976
cas_sentinelles_lag3,0.006424718000816744
ias_syndrome_grippal_lag1,0.005910908364922255
population_totale,0.005807095250916315
is_winter,7.527407045327422e-05
humidity_high,0.0
temp_warm,0.0
wiki_grippe_views_ma8,0.0
temp_mild,0.0
wiki_grippe_views_ma3,0.0
wiki_grippe_views_ma4,0.0
wiki_vaccination_views_ma3,0.0
wiki_vaccination_views_ma4,0.0
temp_cold,0.0
wiki_vaccination_views_ma8,0.0
wiki_grippe_views,0.0
wiki_vaccination_views_lag12,0.0
wiki_grippe_views_lag3,0.0
wiki_grippe_views_zscore,0.0
wiki_vaccination_views_zscore,0.0
temperature,0.0
humidity,0.0
wiki_grippe_views_lag1,0.0
wiki_vaccination_views,0.0
wiki_grippe_views_lag4,0.0
wiki_vaccination_views_lag8,0.0
wiki_grippe_views_lag8,0.0
wiki_grippe_views_lag12,0.0
wiki_vaccination_views_lag1,0.0
wiki_vaccination_views_lag2,0.0
wiki_vaccination_views_lag3,0.0
wiki_vaccination_views_lag4,0.0
wiki_grippe_views_lag2,0.0
