region,temperature,humidity,date
Auvergne-Rhône-Alpes,8.933333333333334,78.46666666666665,2023-10-17
Bourgogne-Franche-Comté,8.766666666666667,81.03333333333333,2023-10-17
Bretagne,12.633333333333333,69.89999999999999,2023-10-17
Centre-Val de Loire,7.666666666666667,89.60000000000001,2023-10-17
Corse,10.366666666666667,78.63333333333334,2023-10-17
Grand Est,8.1,82.0,2023-10-17
Hauts-de-France,9.033333333333333,82.89999999999999,2023-10-17
Normandie,7.333333333333333,83.33333333333333,2023-10-17
Nouvelle-Aquitaine,10.033333333333333,80.26666666666667,2023-10-17
Occitanie,8.2,87.53333333333335,2023-10-17
Pays de la Loire,8.133333333333333,83.3,2023-10-17
Provence-Alpes-Côte d'Azur,8.666666666666666,83.53333333333333,2023-10-17
Île-de-France,12.0,78.66666666666667,2023-10-17
Auvergne-Rhône-Alpes,8.928571428571429,84.60000000000001,2023-10-24
Bourgogne-Franche-Comté,8.042857142857143,83.01428571428572,2023-10-24
Bretagne,9.185714285714285,83.17142857142858,2023-10-24
Centre-Val de Loire,8.657142857142857,84.5,2023-10-24
Corse,8.157142857142857,83.89999999999999,2023-10-24
Grand Est,8.428571428571429,84.08571428571429,2023-10-24
Hauts-de-France,9.4,83.34285714285714,2023-10-24
Normandie,8.342857142857143,86.17142857142858,2023-10-24
Nouvelle-Aquitaine,7.828571428571428,84.0,2023-10-24
Occitanie,7.714285714285714,82.85714285714286,2023-10-24
Pays de la Loire,9.6,79.92857142857143,2023-10-24
Provence-Alpes-Côte d'Azur,7.171428571428572,85.67142857142858,2023-10-24
Île-de-France,10.614285714285714,76.48571428571428,2023-10-24
Auvergne-Rhône-Alpes,7.514285714285714,86.41428571428571,2023-10-31
Bourgogne-Franche-Comté,7.185714285714285,85.65714285714286,2023-10-31
Bretagne,7.871428571428572,84.58571428571429,2023-10-31
Centre-Val de Loire,6.785714285714286,88.37142857142858,2023-10-31
Corse,8.785714285714286,84.74285714285715,2023-10-31
Grand Est,8.87142857142857,81.24285714285715,2023-10-31
Hauts-de-France,7.185714285714285,83.58571428571429,2023-10-31
Normandie,7.1571428571428575,85.24285714285715,2023-10-31
Nouvelle-Aquitaine,7.742857142857143,85.61428571428571,2023-10-31
Occitanie,8.342857142857143,80.07142857142857,2023-10-31
Pays de la Loire,6.914285714285714,85.84285714285714,2023-10-31
Provence-Alpes-Côte d'Azur,8.22857142857143,82.47142857142856,2023-10-31
Île-de-France,8.057142857142857,80.95714285714287,2023-10-31
Auvergne-Rhône-Alpes,6.757142857142857,87.72857142857143,2023-11-07
Bourgogne-Franche-Comté,7.171428571428572,86.42857142857143,2023-11-07
Bretagne,7.6571428571428575,82.92857142857143,2023-11-07
Centre-Val de Loire,7.357142857142857,86.44285714285715,2023-11-07
Corse,8.057142857142859,83.37142857142858,2023-11-07
Grand Est,6.514285714285714,89.38571428571429,2023-11-07
Hauts-de-France,7.557142857142857,87.58571428571429,2023-11-07
Normandie,6.185714285714285,90.8,2023-11-07
Nouvelle-Aquitaine,6.942857142857143,85.11428571428571,2023-11-07
Occitanie,6.442857142857143,84.41428571428571,2023-11-07
Pays de la Loire,7.942857142857143,84.60000000000001,2023-11-07
Provence-Alpes-Côte d'Azur,5.271428571428571,87.28571428571429,2023-11-07
Île-de-France,7.8,85.27142857142857,2023-11-07
Auvergne-Rhône-Alpes,7.742857142857143,86.68571428571428,2023-11-14
Bourgogne-Franche-Comté,6.171428571428572,85.58571428571429,2023-11-14
Bretagne,5.971428571428571,86.55714285714285,2023-11-14
Centre-Val de Loire,6.1571428571428575,90.87142857142858,2023-11-14
Corse,5.642857142857143,86.14285714285714,2023-11-14
Grand Est,8.014285714285714,85.12857142857142,2023-11-14
Hauts-de-France,4.871428571428572,86.97142857142856,2023-11-14
Normandie,6.257142857142857,86.88571428571429,2023-11-14
Nouvelle-Aquitaine,6.7,87.17142857142858,2023-11-14
Occitanie,5.6571428571428575,86.39999999999999,2023-11-14
Pays de la Loire,6.8428571428571425,86.78571428571429,2023-11-14
Provence-Alpes-Côte d'Azur,8.3,85.52857142857144,2023-11-14
Île-de-France,6.771428571428571,86.27142857142857,2023-11-14
Auvergne-Rhône-Alpes,3.5,92.08571428571429,2023-11-21
Bourgogne-Franche-Comté,5.371428571428572,89.51428571428572,2023-11-21
Bretagne,3.414285714285714,90.60000000000001,2023-11-21
Centre-Val de Loire,7.3999999999999995,84.55714285714285,2023-11-21
Corse,5.5,90.2,2023-11-21
Grand Est,5.714285714285714,87.18571428571428,2023-11-21
Hauts-de-France,7.457142857142857,83.88571428571429,2023-11-21
Normandie,5.071428571428571,88.14285714285714,2023-11-21
Nouvelle-Aquitaine,5.585714285714286,89.48571428571428,2023-11-21
Occitanie,6.457142857142857,89.88571428571429,2023-11-21
Pays de la Loire,4.771428571428571,91.22857142857143,2023-11-21
Provence-Alpes-Côte d'Azur,4.328571428571428,92.92857142857143,2023-11-21
Île-de-France,5.957142857142857,85.15714285714286,2023-11-21
Auvergne-Rhône-Alpes,6.2,90.34285714285714,2023-11-28
Bourgogne-Franche-Comté,6.071428571428571,88.17142857142858,2023-11-28
Bretagne,4.628571428571428,85.8,2023-11-28
Centre-Val de Loire,6.942857142857142,84.58571428571429,2023-11-28
Corse,6.085714285714286,87.42857142857143,2023-11-28
Grand Est,5.514285714285714,88.51428571428572,2023-11-28
Hauts-de-France,2.371428571428571,92.58571428571429,2023-11-28
Normandie,6.785714285714286,85.21428571428571,2023-11-28
Nouvelle-Aquitaine,4.671428571428571,89.52857142857144,2023-11-28
Occitanie,4.6571428571428575,86.51428571428572,2023-11-28
Pays de la Loire,5.314285714285714,89.0,2023-11-28
Provence-Alpes-Côte d'Azur,5.8,84.54285714285713,2023-11-28
Île-de-France,4.442857142857142,88.88571428571429,2023-11-28
Auvergne-Rhône-Alpes,6.528571428571429,89.08571428571429,2023-12-05
Bourgogne-Franche-Comté,5.6000000000000005,88.48571428571428,2023-12-05
Bretagne,5.6000000000000005,86.47142857142856,2023-12-05
Centre-Val de Loire,3.542857142857143,91.42857142857143,2023-12-05
Corse,4.771428571428571,87.07142857142857,2023-12-05
Grand Est,6.042857142857143,88.28571428571429,2023-12-05
Hauts-de-France,5.985714285714286,84.25714285714285,2023-12-05
Normandie,5.2,88.7,2023-12-05
Nouvelle-Aquitaine,4.614285714285714,91.0,2023-12-05
Occitanie,4.942857142857143,87.61428571428571,2023-12-05
Pays de la Loire,7.228571428571429,83.42857142857143,2023-12-05
Provence-Alpes-Côte d'Azur,4.242857142857143,89.81428571428572,2023-12-05
Île-de-France,5.314285714285715,86.5,2023-12-05
Auvergne-Rhône-Alpes,5.571428571428571,84.61428571428571,2023-12-12
Bourgogne-Franche-Comté,4.485714285714286,87.97142857142856,2023-12-12
Bretagne,5.414285714285714,87.74285714285715,2023-12-12
Centre-Val de Loire,3.557142857142857,91.3,2023-12-12
Corse,5.614285714285714,86.24285714285715,2023-12-12
Grand Est,7.214285714285714,87.39999999999999,2023-12-12
Hauts-de-France,5.528571428571429,85.71428571428571,2023-12-12
Normandie,5.557142857142857,87.71428571428571,2023-12-12
Nouvelle-Aquitaine,4.014285714285714,92.95714285714287,2023-12-12
Occitanie,5.785714285714286,91.39999999999999,2023-12-12
Pays de la Loire,5.542857142857143,87.78571428571429,2023-12-12
Provence-Alpes-Côte d'Azur,3.5,91.67142857142858,2023-12-12
Île-de-France,6.742857142857143,86.8,2023-12-12
Auvergne-Rhône-Alpes,5.442857142857143,88.98571428571428,2023-12-19
Bourgogne-Franche-Comté,4.228571428571429,89.81428571428572,2023-12-19
Bretagne,3.657142857142857,91.82857142857142,2023-12-19
Centre-Val de Loire,5.785714285714286,86.07142857142857,2023-12-19
Corse,4.714285714285714,87.15714285714286,2023-12-19
Grand Est,6.2,84.58571428571429,2023-12-19
Hauts-de-France,3.6999999999999997,91.55714285714285,2023-12-19
Normandie,4.6000000000000005,87.74285714285715,2023-12-19
Nouvelle-Aquitaine,5.928571428571429,83.75714285714285,2023-12-19
Occitanie,4.271428571428571,88.97142857142856,2023-12-19
Pays de la Loire,4.2,91.32857142857142,2023-12-19
Provence-Alpes-Côte d'Azur,6.385714285714286,89.38571428571429,2023-12-19
Île-de-France,3.142857142857143,93.44285714285715,2023-12-19
Auvergne-Rhône-Alpes,5.242857142857143,88.24285714285715,2023-12-26
Bourgogne-Franche-Comté,3.8000000000000003,91.68571428571428,2023-12-26
Bretagne,4.571428571428571,90.8,2023-12-26
Centre-Val de Loire,4.971428571428572,87.5,2023-12-26
Corse,6.414285714285714,90.42857142857143,2023-12-26
Grand Est,4.128571428571428,90.3,2023-12-26
Hauts-de-France,5.814285714285715,84.15714285714286,2023-12-26
Normandie,3.6571428571428575,92.82857142857142,2023-12-26
Nouvelle-Aquitaine,5.214285714285714,87.44285714285715,2023-12-26
Occitanie,2.6714285714285717,91.07142857142857,2023-12-26
Pays de la Loire,5.914285714285714,89.35714285714286,2023-12-26
Provence-Alpes-Côte d'Azur,4.985714285714286,86.89999999999999,2023-12-26
Île-de-France,3.9428571428571426,91.12857142857142,2023-12-26
Auvergne-Rhône-Alpes,3.942857142857143,93.12857142857142,2024-01-02
Bourgogne-Franche-Comté,5.685714285714285,86.24285714285715,2024-01-02
Bretagne,6.1000000000000005,84.97142857142856,2024-01-02
Centre-Val de Loire,4.685714285714286,89.95714285714287,2024-01-02
Corse,5.214285714285714,90.42857142857143,2024-01-02
Grand Est,5.314285714285715,88.65714285714286,2024-01-02
Hauts-de-France,4.742857142857142,89.82857142857142,2024-01-02
Normandie,5.742857142857143,86.22857142857143,2024-01-02
Nouvelle-Aquitaine,5.357142857142857,88.61428571428571,2024-01-02
Occitanie,5.742857142857143,88.47142857142856,2024-01-02
